,time,xrsa_flux,class
0,725803200.0,3.6033987e-07,1
1,725889600.0,1.274639e-06,2
2,725976000.0,3.4255717e-07,1
3,726062400.0,9.421394e-07,1
4,726148800.0,5.3825966e-07,1
5,726235200.0,3.4782566e-05,3
6,726321600.0,2.8386673e-06,2
7,726408000.0,1.6892644e-06,2
8,726494400.0,6.055319e-05,3
9,726580800.0,3.6132886e-05,3
10,726667200.0,1.6091142e-05,3
11,726753600.0,1.8542765e-06,2
12,726840000.0,7.6478545e-06,2
13,726926400.0,7.0108563e-06,2
14,727012800.0,8.9619e-06,2
15,727099200.0,7.668287e-07,1
16,727185600.0,2.8347147e-06,2
17,727272000.0,3.6823749e-06,2
18,727358400.0,3.1627903e-06,2
19,727444800.0,9.209396e-07,1
20,727531200.0,5.7228664e-07,1
21,727617600.0,2.756415e-06,2
22,727704000.0,5.7252237e-07,1
23,727790400.0,7.494313e-07,1
24,727876800.0,9.001143e-06,2
25,727963200.0,4.4436697e-06,2
26,728049600.0,3.202327e-07,1
27,728136000.0,2.6731144e-07,1
28,728222400.0,1.292026e-07,1
29,728308800.0,2.7672866e-07,1
30,728395200.0,5.1817426e-07,1
31,728481600.0,6.407825e-07,1
32,728568000.0,8.773403e-08,0
33,728654400.0,4.798993e-07,1
34,728740800.0,1.2841386e-07,1
35,729000000.0,1.6175714e-05,3
36,729086400.0,4.52167e-06,2
37,729172800.0,4.9570085e-06,2
38,729259200.0,7.361366e-06,2
39,729345600.0,3.2293745e-05,3
40,729432000.0,6.6637467e-06,2
41,729518400.0,2.1246992e-06,2
42,729604800.0,5.6227814e-06,2
43,729691200.0,3.5037663e-06,2
44,729777600.0,1.9782026e-06,2
45,729864000.0,6.322943e-05,3
46,729950400.0,1.0079691e-06,2
47,730036800.0,5.8495453e-07,1
48,730123200.0,1.1609739e-05,3
49,730209600.0,1.3368845e-05,3
50,730296000.0,5.9831555e-06,2
51,730382400.0,2.3751036e-06,2
52,730468800.0,5.5667224e-06,2
53,730555200.0,9.793091e-06,2
54,730641600.0,4.3617473e-07,1
55,730728000.0,3.979282e-07,1
56,730814400.0,2.1497382e-05,3
57,730900800.0,1.7470594e-06,2
58,730987200.0,8.026309e-06,2
59,731073600.0,7.527559e-05,3
60,731160000.0,1.0398304e-05,3
61,731246400.0,1.30663175e-05,3
62,731332800.0,1.3755745e-05,3
63,731419200.0,4.366775e-07,1
64,731505600.0,2.161661e-06,2
65,731592000.0,5.919185e-07,1
66,731764800.0,4.240509e-07,1
67,731851200.0,2.300686e-07,1
68,732024000.0,2.137677e-07,1
69,732110400.0,4.3273737e-08,0
70,732196800.0,1.3205793e-07,1
71,732283200.0,1.4071161e-06,2
72,732369600.0,1.592871e-06,2
73,732456000.0,5.850698e-07,1
74,732542400.0,1.6272365e-06,2
75,732715200.0,1.612618e-07,1
76,732801600.0,3.4782794e-08,0
77,732888000.0,1.5974003e-07,1
78,732974400.0,6.690928e-08,0
79,733147200.0,3.763202e-07,1
80,733233600.0,2.9438502e-07,1
81,733320000.0,3.6743306e-05,3
82,733406400.0,9.990251e-06,2
83,733492800.0,1.2351838e-06,2
84,733579200.0,5.0408977e-07,1
85,733665600.0,3.7685052e-07,1
86,733752000.0,3.1560614e-07,1
87,733838400.0,1.2078613e-07,1
88,734097600.0,8.4027624e-07,1
89,734184000.0,5.6425074e-06,2
90,734270400.0,1.3160106e-06,2
91,734356800.0,5.879461e-06,2
92,734443200.0,2.1147755e-06,2
93,734529600.0,7.796459e-07,1
94,734702400.0,3.0274045e-06,2
95,734788800.0,1.083413e-06,2
96,734875200.0,8.550193e-07,1
